2024-04-10 14:02:53 startup archives install
2024-04-10 14:02:53 install base-passwd:amd64 <none> 3.6.1
2024-04-10 14:02:53 status half-installed base-passwd:amd64 3.6.1
2024-04-10 14:02:53 status unpacked base-passwd:amd64 3.6.1
2024-04-10 14:02:53 configure base-passwd:amd64 3.6.1 3.6.1
2024-04-10 14:02:53 status half-configured base-passwd:amd64 3.6.1
2024-04-10 14:02:53 status installed base-passwd:amd64 3.6.1
2024-04-10 14:02:53 startup archives install
2024-04-10 14:02:53 install base-files:amd64 <none> 13ubuntu2
2024-04-10 14:02:53 status half-installed base-files:amd64 13ubuntu2
2024-04-10 14:02:53 status unpacked base-files:amd64 13ubuntu2
2024-04-10 14:02:53 configure base-files:amd64 13ubuntu2 13ubuntu2
2024-04-10 14:02:53 status half-configured base-files:amd64 13ubuntu2
2024-04-10 14:02:53 status installed base-files:amd64 13ubuntu2
2024-04-10 14:02:53 startup archives install
2024-04-10 14:02:53 upgrade dpkg 1.22.0ubuntu1 1.22.0ubuntu1
2024-04-10 14:02:53 status half-configured dpkg 1.22.0ubuntu1
2024-04-10 14:02:53 status unpacked dpkg 1.22.0ubuntu1
2024-04-10 14:02:53 status half-installed dpkg 1.22.0ubuntu1
2024-04-10 14:02:53 status unpacked dpkg:amd64 1.22.0ubuntu1
2024-04-10 14:02:53 configure dpkg:amd64 1.22.0ubuntu1 1.22.0ubuntu1
2024-04-10 14:02:53 status half-configured dpkg:amd64 1.22.0ubuntu1
2024-04-10 14:02:53 status installed dpkg:amd64 1.22.0ubuntu1
2024-04-10 14:02:53 startup archives install
2024-04-10 14:02:53 install libc6:amd64 <none> 2.38-1ubuntu6
2024-04-10 14:02:53 status half-installed libc6:amd64 2.38-1ubuntu6
2024-04-10 14:02:53 status unpacked libc6:amd64 2.38-1ubuntu6
2024-04-10 14:02:53 configure libc6:amd64 2.38-1ubuntu6 2.38-1ubuntu6
2024-04-10 14:02:53 status half-configured libc6:amd64 2.38-1ubuntu6
2024-04-10 14:02:54 status installed libc6:amd64 2.38-1ubuntu6
2024-04-10 14:02:54 startup archives install
2024-04-10 14:02:54 install perl-base:amd64 <none> 5.36.0-9ubuntu1
2024-04-10 14:02:54 status half-installed perl-base:amd64 5.36.0-9ubuntu1
2024-04-10 14:02:54 status unpacked perl-base:amd64 5.36.0-9ubuntu1
2024-04-10 14:02:54 configure perl-base:amd64 5.36.0-9ubuntu1 5.36.0-9ubuntu1
2024-04-10 14:02:54 status half-configured perl-base:amd64 5.36.0-9ubuntu1
2024-04-10 14:02:54 status installed perl-base:amd64 5.36.0-9ubuntu1
2024-04-10 14:02:54 startup archives install
2024-04-10 14:02:54 install mawk:amd64 <none> 1.3.4.20230730-1
2024-04-10 14:02:54 status half-installed mawk:amd64 1.3.4.20230730-1
2024-04-10 14:02:54 status unpacked mawk:amd64 1.3.4.20230730-1
2024-04-10 14:02:54 configure mawk:amd64 1.3.4.20230730-1 1.3.4.20230730-1
2024-04-10 14:02:54 status half-configured mawk:amd64 1.3.4.20230730-1
2024-04-10 14:02:54 status installed mawk:amd64 1.3.4.20230730-1
2024-04-10 14:02:54 startup archives unpack
2024-04-10 14:02:54 upgrade base-files:amd64 13ubuntu2 13ubuntu2
2024-04-10 14:02:54 status half-configured base-files:amd64 13ubuntu2
2024-04-10 14:02:54 status unpacked base-files:amd64 13ubuntu2
2024-04-10 14:02:54 status half-installed base-files:amd64 13ubuntu2
2024-04-10 14:02:54 status unpacked base-files:amd64 13ubuntu2
2024-04-10 14:02:54 upgrade base-passwd:amd64 3.6.1 3.6.1
2024-04-10 14:02:54 status half-configured base-passwd:amd64 3.6.1
2024-04-10 14:02:54 status unpacked base-passwd:amd64 3.6.1
2024-04-10 14:02:54 status half-installed base-passwd:amd64 3.6.1
2024-04-10 14:02:54 status unpacked base-passwd:amd64 3.6.1
2024-04-10 14:02:54 install bash:amd64 <none> 5.2.15-2ubuntu1
2024-04-10 14:02:54 status half-installed bash:amd64 5.2.15-2ubuntu1
2024-04-10 14:02:54 status unpacked bash:amd64 5.2.15-2ubuntu1
2024-04-10 14:02:54 install bsdutils:amd64 <none> 1:2.39.1-4ubuntu2
2024-04-10 14:02:54 status half-installed bsdutils:amd64 1:2.39.1-4ubuntu2
2024-04-10 14:02:54 status unpacked bsdutils:amd64 1:2.39.1-4ubuntu2
2024-04-10 14:02:54 install coreutils:amd64 <none> 9.1-1ubuntu2
2024-04-10 14:02:54 status half-installed coreutils:amd64 9.1-1ubuntu2
2024-04-10 14:02:54 status unpacked coreutils:amd64 9.1-1ubuntu2
2024-04-10 14:02:54 install dash:amd64 <none> 0.5.12-6ubuntu1
2024-04-10 14:02:54 status half-installed dash:amd64 0.5.12-6ubuntu1
2024-04-10 14:02:54 status unpacked dash:amd64 0.5.12-6ubuntu1
2024-04-10 14:02:54 install debconf:all <none> 1.5.82
2024-04-10 14:02:54 status half-installed debconf:all 1.5.82
2024-04-10 14:02:54 status unpacked debconf:all 1.5.82
2024-04-10 14:02:54 install debianutils:amd64 <none> 5.8-1
2024-04-10 14:02:54 status half-installed debianutils:amd64 5.8-1
2024-04-10 14:02:54 status unpacked debianutils:amd64 5.8-1
2024-04-10 14:02:54 install diffutils:amd64 <none> 1:3.8-4
2024-04-10 14:02:54 status half-installed diffutils:amd64 1:3.8-4
2024-04-10 14:02:54 status unpacked diffutils:amd64 1:3.8-4
2024-04-10 14:02:54 upgrade dpkg:amd64 1.22.0ubuntu1 1.22.0ubuntu1
2024-04-10 14:02:54 status half-configured dpkg:amd64 1.22.0ubuntu1
2024-04-10 14:02:54 status unpacked dpkg:amd64 1.22.0ubuntu1
2024-04-10 14:02:54 status half-installed dpkg:amd64 1.22.0ubuntu1
2024-04-10 14:02:54 status unpacked dpkg:amd64 1.22.0ubuntu1
2024-04-10 14:02:54 install e2fsprogs:amd64 <none> 1.47.0-2ubuntu1
2024-04-10 14:02:54 status half-installed e2fsprogs:amd64 1.47.0-2ubuntu1
2024-04-10 14:02:54 status unpacked e2fsprogs:amd64 1.47.0-2ubuntu1
2024-04-10 14:02:54 install findutils:amd64 <none> 4.9.0-5
2024-04-10 14:02:54 status half-installed findutils:amd64 4.9.0-5
2024-04-10 14:02:54 status unpacked findutils:amd64 4.9.0-5
2024-04-10 14:02:54 install gcc-13-base:amd64 <none> 13.2.0-4ubuntu3
2024-04-10 14:02:54 status half-installed gcc-13-base:amd64 13.2.0-4ubuntu3
2024-04-10 14:02:54 status unpacked gcc-13-base:amd64 13.2.0-4ubuntu3
2024-04-10 14:02:54 install grep:amd64 <none> 3.11-2
2024-04-10 14:02:54 status half-installed grep:amd64 3.11-2
2024-04-10 14:02:54 status unpacked grep:amd64 3.11-2
2024-04-10 14:02:54 install gzip:amd64 <none> 1.12-1ubuntu1
2024-04-10 14:02:54 status half-installed gzip:amd64 1.12-1ubuntu1
2024-04-10 14:02:54 status unpacked gzip:amd64 1.12-1ubuntu1
2024-04-10 14:02:54 install hostname:amd64 <none> 3.23+nmu1ubuntu1
2024-04-10 14:02:54 status half-installed hostname:amd64 3.23+nmu1ubuntu1
2024-04-10 14:02:54 status unpacked hostname:amd64 3.23+nmu1ubuntu1
2024-04-10 14:02:54 install init-system-helpers:all <none> 1.65.2ubuntu1
2024-04-10 14:02:54 status half-installed init-system-helpers:all 1.65.2ubuntu1
2024-04-10 14:02:54 status unpacked init-system-helpers:all 1.65.2ubuntu1
